Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,1.1,4.8,-1.2,2.5,7.4
1,2016-01-02,5.1,10.2,2.0,0.0,0.3
2,2016-01-03,5.6,13.3,2.3,0.0,2.3
3,2016-01-04,6.2,12.3,1.3,2.0,0.2
4,2016-01-05,5.3,8.5,2.9,4.0,0.1
5,2016-01-06,4.9,9.4,2.3,0.0,1.1
6,2016-01-07,1.4,4.6,-0.5,22.0,0.0
7,2016-01-08,1.7,3.7,0.5,12.5,0.0
8,2016-01-09,1.9,5.6,0.0,5.5,2.6
9,2016-01-10,2.9,6.9,1.1,12.0,0.2
10,2016-01-11,0.9,2.2,0.1,3.5,0.0
11,2016-01-12,0.0,1.5,-2.1,0.5,0.0
12,2016-01-13,0.8,6.2,-3.0,5.0,1.4
13,2016-01-14,0.7,3.3,0.0,12.0,0.5
14,2016-01-15,0.3,2.5,-1.7,2.5,0.5
15,2016-01-16,0.7,4.1,-1.2,1.5,1.2
16,2016-01-17,0.6,3.8,-3.0,0.0,2.7
17,2016-01-18,3.0,5.1,1.1,39.5,0.0
18,2016-01-19,-1.7,2.0,-3.4,15.0,0.0
19,2016-01-20,-0.4,1.2,-3.4,16.0,0.0
20,2016-01-21,-0.9,2.2,-2.9,0.5,2.2
21,2016-01-22,-2.5,0.4,-6.4,1.0,0.2
22,2016-01-23,-1.4,2.2,-5.9,1.5,0.5
23,2016-01-24,-3.4,-0.6,-5.6,16.0,0.0
24,2016-01-25,-3.8,0.6,-9.0,6.5,1.1
25,2016-01-26,-0.4,3.8,-8.4,0.0,5.2
26,2016-01-27,2.6,7.4,-0.9,0.0,2.9
27,2016-01-28,2.4,7.3,-0.7,0.0,0.4
28,2016-01-29,1.4,2.7,0.5,39.0,0.0
29,2016-01-30,0.6,3.4,-1.5,13.5,0.4
30,2016-01-31,1.9,6.1,-1.7,4.0,6.1
31,2016-02-01,-0.6,0.3,-2.4,0.5,0.0
32,2016-02-02,-1.3,0.4,-4.2,1.0,0.2
33,2016-02-03,-2.1,3.1,-7.1,0.0,6.2
34,2016-02-04,0.8,6.8,-6.3,0.0,1.1
35,2016-02-05,2.3,6.7,-0.2,1.0,3.5
36,2016-02-06,0.8,4.5,-1.0,11.0,1.3
37,2016-02-07,-2.5,0.6,-7.0,4.5,3.3
38,2016-02-08,-1.1,5.4,-7.9,0.0,8.6
39,2016-02-09,0.7,5.0,-0.9,28.0,0.1
40,2016-02-10,-1.5,1.4,-6.5,4.5,2.0
41,2016-02-11,-1.8,3.9,-8.7,0.0,8.8
42,2016-02-12,5.9,15.7,-4.2,0.0,7.6
43,2016-02-13,11.0,20.6,3.9,11.5,0.0
44,2016-02-14,10.5,21.2,4.8,56.0,0.0
45,2016-02-15,-0.6,4.9,-3.0,31.5,0.0
46,2016-02-16,-1.2,2.0,-6.7,3.0,2.0
47,2016-02-17,-1.2,2.0,-5.4,13.5,0.0
48,2016-02-18,-0.1,5.0,-5.7,0.0,9.2
49,2016-02-19,5.4,11.0,-2.8,0.0,3.9
50,2016-02-20,3.1,5.5,1.6,17.5,0.0
51,2016-02-21,2.4,6.1,-0.7,13.5,1.2
52,2016-02-22,0.9,3.5,-1.8,0.0,1.0
53,2016-02-23,4.1,7.5,1.0,5.0,0.3
54,2016-02-24,-0.6,1.3,-2.5,2.0,1.1
55,2016-02-25,0.0,4.1,-2.5,2.5,3.9
56,2016-02-26,-0.5,1.6,-3.5,11.0,1.2
57,2016-02-27,2.4,8.9,-5.2,0.5,4.3
58,2016-02-28,5.6,12.4,-0.6,0.0,9.3
59,2016-02-29,3.5,12.6,-2.6,40.5,0.0
60,2016-03-01,-2.5,-0.5,-4.6,6.5,1.1
61,2016-03-02,-0.2,3.9,-3.7,1.0,1.8
62,2016-03-03,2.0,6.6,-1.8,0.0,0.8
63,2016-03-04,3.3,10.5,-2.5,0.0,9.6
64,2016-03-05,7.1,15.6,0.3,0.0,4.8
65,2016-03-06,16.2,20.6,4.7,0.0,7.0
66,2016-03-07,9.8,17.6,6.3,1.5,0.0
67,2016-03-08,8.1,11.2,4.8,1.0,0.7
68,2016-03-09,2.0,6.7,-0.1,18.5,0.0
69,2016-03-10,1.7,5.0,0.1,0.5,1.2
70,2016-03-11,1.7,6.2,-1.8,0.0,4.0
71,2016-03-12,1.4,4.0,-1.6,0.0,1.9
72,2016-03-13,2.9,7.1,-2.2,0.5,1.7
73,2016-03-14,1.4,3.0,-0.5,9.5,0.0
74,2016-03-15,1.3,5.9,-1.4,8.5,2.6
75,2016-03-16,5.1,13.8,-2.4,0.0,8.4
76,2016-03-17,8.3,16.7,1.6,0.0,9.8
77,2016-03-18,11.2,20.2,2.1,3.5,4.6
78,2016-03-19,10.1,13.5,6.0,35.0,0.0
79,2016-03-20,5.1,7.7,3.2,3.0,0.2
80,2016-03-21,3.2,8.4,-0.7,0.0,4.7
81,2016-03-22,5.9,14.4,-1.9,0.0,9.9
82,2016-03-23,5.2,8.8,2.0,2.5,0.4
83,2016-03-24,2.1,5.9,-0.5,3.5,2.1
84,2016-03-25,1.3,5.2,-1.2,2.5,3.7
85,2016-03-26,3.0,8.1,-2.2,0.0,7.2
86,2016-03-27,5.0,11.9,-1.6,0.0,9.4
87,2016-03-28,5.8,11.9,0.4,0.0,8.0
88,2016-03-29,7.6,14.0,0.1,0.0,9.0
89,2016-03-30,11.3,16.8,3.0,1.5,2.1
90,2016-03-31,9.5,17.4,1.1,0.0,9.1
91,2016-04-01,10.4,17.5,3.7,0.0,8.4
92,2016-04-02,13.8,20.9,5.4,0.0,9.9
93,2016-04-03,17.8,21.5,12.5,0.0,0.8
94,2016-04-04,9.2,13.6,6.6,37.0,0.0
95,2016-04-05,8.5,12.9,4.5,0.0,2.2
96,2016-04-06,9.9,16.1,3.2,0.0,9.4
97,2016-04-07,12.9,23.5,8.5,37.5,0.0
98,2016-04-08,10.6,15.2,5.6,5.5,1.5
99,2016-04-09,14.0,21.4,5.7,0.0,10.8
100,2016-04-10,13.3,19.4,8.0,0.0,2.9
101,2016-04-11,3.3,8.0,0.4,9.5,1.4
102,2016-04-12,5.6,15.5,-1.2,0.0,9.8
103,2016-04-13,16.5,23.2,8.7,22.0,7.0
104,2016-04-14,13.8,18.6,10.4,4.5,2.8
105,2016-04-15,9.1,13.7,3.9,0.0,8.6
106,2016-04-16,12.8,21.7,2.9,0.0,10.4
107,2016-04-17,18.7,25.3,8.9,0.5,6.2
108,2016-04-18,10.4,14.0,6.2,0.0,0.8
109,2016-04-19,9.7,16.0,3.1,0.0,7.7
110,2016-04-20,10.3,17.4,2.6,0.0,10.7
111,2016-04-21,14.1,21.7,8.7,17.0,0.9
112,2016-04-22,13.2,15.1,10.3,20.0,0.0
113,2016-04-23,15.2,22.8,9.4,0.0,7.5
114,2016-04-24,11.8,14.9,8.3,0.5,1.0
115,2016-04-25,12.0,17.9,6.8,0.0,8.3
116,2016-04-26,15.0,21.9,8.9,0.0,11.4
117,2016-04-27,13.0,18.4,9.0,1.0,7.3
118,2016-04-28,11.1,12.6,9.4,81.0,0.0
119,2016-04-29,8.8,12.4,6.4,9.5,3.9
120,2016-04-30,10.3,17.1,3.7,3.0,4.2
121,2016-05-01,14.2,18.3,10.2,0.5,0.0
122,2016-05-02,17.1,25.4,9.9,0.0,11.3
123,2016-05-03,22.5,29.8,10.6,0.0,5.5
124,2016-05-04,18.9,27.2,12.4,7.0,7.7
125,2016-05-05,15.3,19.5,8.7,0.0,6.1
126,2016-05-06,17.8,24.3,8.4,0.0,3.4
127,2016-05-07,17.3,22.3,9.9,4.0,0.9
128,2016-05-08,13.5,19.7,7.5,0.0,11.0
129,2016-05-09,15.9,21.2,8.5,0.0,0.8
130,2016-05-10,16.4,23.3,13.8,5.0,0.0
131,2016-05-11,16.0,25.7,11.6,57.5,0.0
132,2016-05-12,13.9,19.1,11.1,2.5,6.9
133,2016-05-13,17.1,24.4,10.2,0.0,7.7
134,2016-05-14,14.0,15.7,12.1,0.0,0.0
135,2016-05-15,18.7,26.0,11.0,0.0,12.1
136,2016-05-16,21.1,30.5,11.2,5.5,8.1
137,2016-05-17,11.7,15.2,9.2,23.0,0.7
138,2016-05-18,14.2,20.3,7.3,0.0,12.7
139,2016-05-19,16.3,21.7,10.5,0.0,12.1
140,2016-05-20,18.3,24.1,12.8,0.0,12.3
141,2016-05-21,16.7,22.2,11.6,0.0,12.7
142,2016-05-22,16.1,22.0,9.6,0.0,12.7
143,2016-05-23,18.3,25.0,12.3,0.0,11.0
144,2016-05-24,24.1,30.3,12.9,0.0,10.0
145,2016-05-25,22.2,27.9,18.4,0.0,0.0
146,2016-05-26,22.8,28.6,18.3,1.0,2.8
147,2016-05-27,17.5,22.0,13.5,17.0,6.3
148,2016-05-28,17.7,22.4,13.8,0.0,1.0
149,2016-05-29,18.7,25.2,12.4,12.5,8.9
150,2016-05-30,16.8,19.1,15.0,19.0,0.0
151,2016-05-31,19.2,25.3,15.4,2.0,7.0
152,2016-06-01,14.7,18.7,11.9,0.0,5.0
153,2016-06-02,13.0,18.0,8.8,0.0,9.2
154,2016-06-03,15.8,22.7,7.6,0.0,12.9
155,2016-06-04,20.5,27.0,12.6,0.0,7.8
156,2016-06-05,18.4,22.7,15.7,0.0,2.3
157,2016-06-06,17.5,21.4,12.4,0.0,8.6
158,2016-06-07,20.0,24.9,15.9,0.0,1.7
159,2016-06-08,21.4,27.9,15.7,0.0,11.5
160,2016-06-09,18.7,21.6,15.6,15.5,0.1
161,2016-06-10,18.6,22.2,14.7,0.0,3.2
162,2016-06-11,22.1,28.3,14.7,0.0,10.8
163,2016-06-12,22.5,27.9,16.9,0.5,4.5
164,2016-06-13,18.9,20.3,18.1,26.5,0.0
165,2016-06-14,19.7,23.5,17.7,8.5,0.8
166,2016-06-15,21.9,27.4,16.0,0.0,8.5
167,2016-06-16,23.3,27.5,18.4,7.5,0.8
168,2016-06-17,21.2,26.0,17.3,6.0,3.7
169,2016-06-18,21.1,26.9,14.9,0.0,12.6
170,2016-06-19,21.5,27.8,17.1,7.5,3.8
171,2016-06-20,22.0,26.1,18.7,0.0,3.7
172,2016-06-21,21.2,26.3,17.4,0.0,7.5
173,2016-06-22,21.7,26.0,18.0,0.5,1.5
174,2016-06-23,19.2,20.0,17.6,17.0,0.0
175,2016-06-24,20.5,28.2,15.7,12.5,1.3
176,2016-06-25,20.1,26.7,15.4,23.5,0.0
177,2016-06-26,18.7,24.0,14.8,14.0,2.2
178,2016-06-27,19.8,25.7,13.0,0.5,9.7
179,2016-06-28,17.9,19.8,16.3,10.0,0.0
180,2016-06-29,20.1,24.1,16.2,1.5,3.1
181,2016-06-30,21.3,23.7,18.6,2.0,0.1
182,2016-07-01,24.3,29.6,18.7,0.0,11.1
183,2016-07-02,27.0,34.5,21.4,1.5,1.4
184,2016-07-03,24.2,29.4,21.9,16.5,0.0
185,2016-07-04,22.4,25.0,20.7,23.5,0.0
186,2016-07-05,23.4,27.4,20.6,5.0,1.3
187,2016-07-06,26.8,32.0,21.6,0.5,4.2
188,2016-07-07,23.8,27.6,21.4,1.0,1.2
189,2016-07-08,22.9,29.7,20.0,7.0,0.1
190,2016-07-09,21.4,23.2,20.1,16.0,0.0
191,2016-07-10,23.7,28.3,19.8,0.5,10.4
192,2016-07-11,23.0,28.4,18.4,0.0,12.0
193,2016-07-12,23.7,28.9,16.3,0.0,9.0
194,2016-07-13,24.6,29.1,22.4,39.0,1.3
195,2016-07-14,22.3,28.4,19.7,51.0,2.2
196,2016-07-15,20.6,23.6,19.0,65.0,0.2
197,2016-07-16,22.6,26.0,19.0,0.0,4.2
198,2016-07-17,23.3,26.9,21.8,10.5,0.6
199,2016-07-18,22.5,24.6,20.5,0.5,0.3
200,2016-07-19,23.0,28.3,17.4,0.0,11.6
201,2016-07-20,22.1,24.9,19.8,0.0,1.1
202,2016-07-21,21.7,24.2,20.2,0.0,0.2
203,2016-07-22,21.9,25.0,18.7,0.0,0.4
204,2016-07-23,23.7,28.0,20.0,0.0,6.1
205,2016-07-24,24.8,30.2,19.9,0.0,9.2
206,2016-07-25,23.6,28.9,20.5,16.0,1.3
207,2016-07-26,21.7,25.3,20.5,118.0,0.0
208,2016-07-27,24.6,29.8,21.2,72.0,3.5
209,2016-07-28,26.5,31.8,22.3,0.0,6.0
210,2016-07-29,26.4,32.2,21.8,0.0,5.5
211,2016-07-30,26.5,31.1,23.0,0.0,8.5
212,2016-07-31,24.9,29.3,22.1,30.0,4.4
213,2016-08-01,25.0,28.9,21.9,0.0,4.1
214,2016-08-02,24.5,28.6,21.6,0.0,2.7
215,2016-08-03,24.1,28.3,21.6,2.0,3.2
216,2016-08-04,24.4,28.2,20.4,0.0,3.3
217,2016-08-05,25.2,30.2,20.0,0.0,11.3
218,2016-08-06,25.3,29.0,20.5,0.0,4.2
219,2016-08-07,26.8,32.3,21.7,0.0,8.6
220,2016-08-08,26.2,30.9,21.5,0.0,8.8
221,2016-08-09,24.5,29.1,20.3,6.0,3.8
222,2016-08-10,23.1,26.7,19.5,0.0,1.9
223,2016-08-11,22.5,27.0,18.2,0.0,3.1
224,2016-08-12,24.0,30.2,17.4,0.0,11.2
225,2016-08-13,26.0,32.3,20.9,0.0,10.6
226,2016-08-14,25.5,31.8,20.9,16.5,6.6
227,2016-08-15,23.5,27.9,21.2,22.0,2.6
228,2016-08-16,24.3,30.5,20.2,12.5,7.0
229,2016-08-17,24.3,28.3,22.0,7.0,3.4
230,2016-08-18,24.3,27.6,21.9,0.0,0.8
231,2016-08-19,25.1,28.6,22.6,0.0,1.0
232,2016-08-20,25.8,29.1,21.9,0.0,5.1
233,2016-08-21,26.8,32.0,23.1,0.0,4.5
234,2016-08-22,25.0,29.1,22.4,53.5,2.3
235,2016-08-23,24.0,27.7,20.1,19.0,4.8
236,2016-08-24,23.9,28.5,19.5,0.0,3.8
237,2016-08-25,26.3,32.6,20.5,0.0,10.2
238,2016-08-26,24.9,31.3,21.7,5.5,2.8
239,2016-08-27,20.7,22.7,18.9,12.0,0.0
240,2016-08-28,21.5,24.8,18.1,0.0,3.7
241,2016-08-29,24.4,30.2,20.1,0.5,4.7
242,2016-08-30,19.5,23.9,17.4,59.0,0.0
243,2016-08-31,25.8,32.0,18.3,0.0,11.0
244,2016-09-01,22.9,29.7,16.2,0.0,9.8
245,2016-09-02,22.9,28.4,16.8,0.0,7.8
246,2016-09-03,24.2,29.6,18.5,0.0,9.5
247,2016-09-04,24.6,31.1,20.7,3.0,5.3
248,2016-09-05,24.4,30.9,20.6,12.0,4.2
249,2016-09-06,23.4,30.1,20.8,0.0,1.2
250,2016-09-07,23.8,27.5,20.4,0.0,1.4
251,2016-09-08,21.8,24.7,19.8,19.5,0.1
252,2016-09-09,20.5,25.0,18.8,6.0,1.8
253,2016-09-10,20.8,24.9,18.3,0.0,4.6
254,2016-09-11,21.0,25.8,18.0,0.0,1.4
255,2016-09-12,21.4,26.2,18.2,0.0,3.3
256,2016-09-13,21.2,23.1,20.0,41.5,0.0
257,2016-09-14,21.0,24.5,19.8,3.0,0.5
258,2016-09-15,20.9,24.4,18.4,0.5,2.4
259,2016-09-16,20.8,25.4,17.0,0.0,1.8
260,2016-09-17,21.3,25.0,18.3,8.5,1.5
261,2016-09-18,19.8,21.1,19.0,85.5,0.0
262,2016-09-19,18.9,20.3,17.8,62.5,0.0
263,2016-09-20,17.0,21.4,16.0,86.5,0.0
264,2016-09-21,19.0,21.6,17.3,1.0,0.1
265,2016-09-22,19.4,22.2,17.7,29.0,0.0
266,2016-09-23,17.7,18.8,16.6,13.5,0.0
267,2016-09-24,18.8,21.5,15.0,0.0,1.7
268,2016-09-25,21.3,26.9,16.0,0.0,5.9
269,2016-09-26,21.4,24.2,19.5,0.5,0.0
270,2016-09-27,23.3,29.6,17.5,0.0,9.4
271,2016-09-28,21.4,23.0,20.1,58.0,0.0
272,2016-09-29,18.0,20.2,14.5,51.0,0.0
273,2016-09-30,16.5,20.7,11.7,5.0,5.7
274,2016-10-01,17.7,20.1,15.4,12.5,0.1
275,2016-10-02,20.7,24.7,17.8,2.0,3.6
276,2016-10-03,21.8,29.5,18.6,0.0,0.0
277,2016-10-04,20.4,23.8,16.2,0.0,1.1
278,2016-10-05,22.4,31.6,15.8,0.0,0.3
279,2016-10-06,18.3,24.3,14.1,18.5,0.7
280,2016-10-07,15.7,21.4,10.4,0.0,9.5
281,2016-10-08,22.3,27.2,16.9,11.0,0.0
282,2016-10-09,15.8,20.6,12.6,71.0,0.1
283,2016-10-10,13.2,15.5,10.2,0.0,0.6
284,2016-10-11,13.3,17.7,9.5,0.0,3.9
285,2016-10-12,12.4,19.5,7.4,1.5,4.0
286,2016-10-13,11.5,15.3,8.1,0.0,2.1
287,2016-10-14,11.5,18.3,6.3,0.0,9.1
288,2016-10-15,12.4,19.5,6.3,0.0,9.7
289,2016-10-16,15.6,23.5,8.6,0.5,8.4
290,2016-10-17,18.1,23.3,13.4,8.0,0.6
291,2016-10-18,18.0,22.7,15.7,4.0,1.0
292,2016-10-19,16.6,21.2,12.6,0.0,3.9
293,2016-10-20,16.8,21.6,12.4,0.0,5.5
294,2016-10-21,11.7,15.5,8.2,0.0,1.1
295,2016-10-22,12.1,17.4,6.4,0.0,2.8
296,2016-10-23,12.7,16.5,9.8,0.0,0.4
297,2016-10-24,9.8,15.2,4.4,0.0,8.0
298,2016-10-25,14.2,22.2,2.8,5.5,1.2
299,2016-10-26,17.4,23.2,13.6,21.0,6.2
300,2016-10-27,11.9,16.2,6.0,1.5,4.5
301,2016-10-28,10.2,12.9,5.6,30.0,0.0
302,2016-10-29,9.9,12.1,7.1,10.0,0.0
303,2016-10-30,8.3,13.5,4.6,0.0,7.3
304,2016-10-31,9.9,16.6,2.5,0.0,4.6
305,2016-11-01,8.9,13.8,5.4,7.0,0.0
306,2016-11-02,7.9,13.4,3.9,0.5,7.1
307,2016-11-03,8.2,14.0,6.3,17.5,0.3
308,2016-11-04,8.0,14.5,3.8,1.5,8.5
309,2016-11-05,9.7,18.4,2.6,0.0,8.5
310,2016-11-06,8.7,11.7,4.7,1.0,0.0
311,2016-11-07,6.9,14.3,1.6,0.0,8.3
312,2016-11-08,10.8,18.7,4.6,63.0,0.8
313,2016-11-09,3.1,5.1,1.7,14.0,0.4
314,2016-11-10,4.9,8.1,1.4,0.0,2.3
315,2016-11-11,9.8,16.9,5.4,13.0,1.7
316,2016-11-12,9.4,15.0,4.0,1.5,6.2
317,2016-11-13,10.6,21.8,3.6,0.0,8.2
318,2016-11-14,12.1,18.0,6.6,8.0,0.8
319,2016-11-15,11.7,16.0,6.6,19.5,0.0
320,2016-11-16,6.0,8.8,3.3,0.5,1.5
321,2016-11-17,6.3,11.8,1.8,5.0,0.0
322,2016-11-18,7.8,16.0,-0.2,0.0,7.8
323,2016-11-19,12.0,16.6,9.8,19.5,0.0
324,2016-11-20,12.6,16.0,8.5,1.0,0.2
325,2016-11-21,11.0,14.2,8.4,0.0,5.8
